MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AT_match_played,AT_goal_against,HT_goal_against,HT_goal_differnece,AT_current_standing,HT_match_played,AT_goal_differnece,AT_goal_for,HT_current_standing,HT_goal_for
205,01/01/96,Leeds,Blackburn,0,0,D,21,26,27,1,31,20,7,33,31,28
206,01/01/96,Liverpool,Nott'm Forest,4,2,H,20,27,18,18,34,20,3,30,35,36
207,01/01/96,Man City,West Ham,2,1,H,19,28,30,-20,23,20,-7,21,16,10
208,01/01/96,Middlesbrough,Aston Villa,0,2,A,19,15,19,4,32,21,10,25,33,23
209,01/01/96,Sheffield Weds,Bolton,4,2,H,21,40,30,-2,10,20,-21,19,22,28
210,01/01/96,Tottenham,Man United,4,1,H,21,23,21,6,41,21,17,40,35,27
211,01/01/96,Wimbledon,Everton,2,3,A,21,22,41,-12,29,21,7,29,21,29
212,02/01/96,Newcastle,Arsenal,2,0,H,21,18,18,22,34,20,10,28,45,40
213,02/01/96,QPR,Chelsea,1,2,A,21,23,31,-15,29,21,-2,21,18,16
214,13/01/96,Bolton,Wimbledon,1,0,H,22,44,44,-23,21,22,-13,31,10,21
215,13/01/96,Everton,Chelsea,1,1,D,22,24,24,8,32,22,-1,23,32,32
216,13/01/96,Leeds,West Ham,2,0,H,20,30,27,1,23,21,-8,22,32,28
217,13/01/96,Man United,Aston Villa,0,0,D,20,15,27,14,35,22,12,27,41,41
218,13/01/96,Middlesbrough,Arsenal,2,3,A,22,20,21,2,34,22,8,28,33,23
219,13/01/96,Nott'm Forest,Southampton,1,0,H,21,31,31,1,20,21,-11,20,34,32
220,13/01/96,QPR,Blackburn,0,1,A,22,26,33,-16,32,22,7,33,18,17
221,13/01/96,Sheffield Weds,Liverpool,1,1,D,21,20,32,0,38,21,20,40,25,32
222,13/01/96,Tottenham,Man City,1,0,H,21,31,22,9,19,22,-19,12,38,31
223,14/01/96,Coventry,Newcastle,0,1,A,21,18,43,-15,48,21,24,42,19,28
224,20/01/96,Arsenal,Everton,1,2,A,23,25,22,9,33,23,8,33,37,31
225,20/01/96,Blackburn,Sheffield Weds,3,0,H,22,33,26,8,26,23,0,33,35,34
226,20/01/96,Chelsea,Nott'm Forest,1,0,H,22,31,25,-1,37,23,2,33,33,24
227,20/01/96,Liverpool,Leeds,5,0,H,22,27,21,20,35,22,3,30,39,41
228,20/01/96,Man City,Coventry,1,1,D,22,44,32,-20,19,22,-16,28,19,12
229,20/01/96,Newcastle,Bolton,2,1,H,23,44,18,25,13,22,-22,22,51,43
230,20/01/96,Southampton,Middlesbrough,2,1,H,23,24,32,-12,33,22,1,25,20,20
231,20/01/96,Wimbledon,QPR,2,1,H,23,34,45,-14,18,23,-17,17,21,31
232,21/01/96,Aston Villa,Tottenham,2,1,H,23,22,15,12,41,21,10,32,36,27
233,23/01/96,West Ham,Man United,0,1,A,23,27,32,-10,42,21,14,41,23,22
234,31/01/96,Aston Villa,Liverpool,0,2,A,23,21,16,13,42,22,25,46,39,29
235,31/01/96,Nott'm Forest,Leeds,2,1,H,23,32,32,1,35,23,-2,30,37,33
236,31/01/96,Southampton,Man City,1,1,D,23,33,33,-11,20,23,-20,13,23,22
237,31/01/96,West Ham,Coventry,3,2,H,23,45,33,-11,20,22,-16,29,23,22
238,03/02/96,Arsenal,Coventry,1,1,D,24,48,24,8,20,24,-17,31,37,32
239,03/02/96,Aston Villa,Leeds,3,0,H,24,34,18,11,35,23,-3,31,39,29
240,03/02/96,Blackburn,Bolton,3,1,H,24,46,26,11,13,24,-23,23,38,37
241,03/02/96,Liverpool,Tottenham,0,0,D,24,24,21,27,41,24,9,33,45,48
242,03/02/96,Man City,QPR,2,0,H,24,36,34,-20,18,24,-18,18,21,14
243,03/02/96,Newcastle,Sheffield Weds,2,0,H,23,36,19,26,26,23,-3,33,54,45
244,03/02/96,Southampton,Everton,2,2,D,24,26,34,-11,36,24,9,35,24,23
245,03/02/96,West Ham,Nott'm Forest,1,0,H,24,33,35,-10,40,23,2,35,26,25
246,03/02/96,Wimbledon,Man United,2,4,A,24,27,46,-13,45,24,15,42,24,33
247,04/02/96,Chelsea,Middlesbrough,5,0,H,24,26,25,0,33,24,0,26,36,25
248,10/02/96,Bolton,Aston Villa,0,2,A,24,18,49,-25,42,25,14,32,13,24
249,10/02/96,Coventry,Chelsea,1,0,H,25,25,49,-17,39,25,5,30,21,32
250,10/02/96,Everton,Man City,2,0,H,25,34,28,9,24,25,-18,16,37,37
251,10/02/96,Man United,Blackburn,1,0,H,25,27,29,17,41,25,13,40,48,46
252,10/02/96,Middlesbrough,Newcastle,1,2,A,24,19,31,-5,57,25,28,47,33,26
